node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id,mode
229,1628,61,43.399891499999995,-80.368232,313,bus
230,1576,61,43.399517333333336,-80.37555866666666,309,bus
231,1577,61,43.398536,-80.377983,310,bus
232,1578,61,43.3948855,-80.377758,311,bus
233,1580,61,43.392023,-80.377445,312,bus
234,3515,61,43.390922,-80.3754115,335,bus
235,1732,61,43.3903385,-80.403539,394,bus
236,1734,61,43.391016,-80.41000249999999,391,bus
237,1728,61,43.387951,-80.4115035,392,bus
238,3388,61,43.383505,-80.40047,987,bus
239,3888,61,43.385293,-80.398107,1141,bus
240,3525,61,43.385799500000005,-80.39049700000001,1025,bus
241,3562,61,43.388388500000005,-80.378865,1023,bus
242,1630,61,43.390922,-80.3754115,335,bus
243,1631,61,43.392023,-80.377445,312,bus
244,1632,61,43.3948855,-80.377758,311,bus
245,1633,61,43.397284,-80.377947,336,bus
246,4104,61,43.399517333333336,-80.37555866666666,309,bus
247,3003,61,43.398299,-80.370481,888,bus
248,1584,61,43.399891499999995,-80.368232,313,bus
249,1585,61,43.39873,-80.363539,314,bus
250,1586,61,43.397363,-80.361226,315,bus
251,1587,61,43.395850749999994,-80.3583565,240,bus
252,1588,61,43.394408999999996,-80.35553999999999,316,bus
253,1589,61,43.393074999999996,-80.35294250000001,317,bus
254,1443,61,43.391082,-80.349241,256,bus
255,1444,61,43.39026774999999,-80.34649025,227,bus
256,3835,61,43.3915935,-80.3441795,257,bus
257,2327,61,43.3924695,-80.3393285,652,bus
258,3877,61,43.3929375,-80.33666500000001,1134,bus
259,1054,61,43.393623500000004,-80.33296949999999,31,bus
260,3851,61,43.394254000000004,-80.329579,1121,bus
261,3806,61,43.39541833333334,-80.32388266666668,274,bus
262,3516,61,43.388388500000005,-80.378865,1023,bus
263,3524,61,43.385799500000005,-80.39049700000001,1025,bus
264,3883,61,43.383556,-80.39875,1138,bus
265,3641,61,43.387951,-80.4115035,392,bus
266,1731,61,43.389642,-80.408066,393,bus
267,1732,36,43.3903385,-80.403539,394,bus
268,1734,36,43.391016,-80.41000249999999,391,bus
269,1728,36,43.387951,-80.4115035,392,bus
270,3802,36,43.385909999999996,-80.4125435,1095,bus
271,3990,36,43.374547,-80.4228195,556,bus
272,3991,36,43.375977,-80.4247225,555,bus
273,3992,36,43.3752105,-80.427243,554,bus
274,3993,36,43.374999,-80.431877,553,bus
275,3994,36,43.375412499999996,-80.4341915,552,bus
276,3995,36,43.37826,-80.4332885,551,bus
277,3996,36,43.378980999999996,-80.4389165,550,bus
278,3997,36,43.378478,-80.441685,1172,bus
279,2045,36,43.378980999999996,-80.4389165,550,bus
280,2046,36,43.37826,-80.4332885,551,bus
281,2047,36,43.375412499999996,-80.4341915,552,bus
282,2048,36,43.374999,-80.431877,553,bus
283,2049,36,43.3752105,-80.427243,554,bus
284,2050,36,43.375977,-80.4247225,555,bus
285,2051,36,43.374547,-80.4228195,556,bus
286,3801,36,43.385909999999996,-80.4125435,1095,bus
287,3641,36,43.387951,-80.4115035,392,bus
288,1731,36,43.389642,-80.408066,393,bus
289,4001,202,43.435396857142855,-80.56067799999998,1136,bus
290,3903,202,43.442391,-80.56573399999999,1145,bus
291,3905,202,43.4457625,-80.57060849999999,1146,bus
292,1983,202,43.448184499999996,-80.56585799999999,522,bus
293,1994,202,43.45264525,-80.55362275,513,bus
294,1997,202,43.455307000000005,-80.54570849999999,510,bus
295,4053,202,43.459262333333335,-80.53723633333334,508,bus
296,2778,202,43.46232,-80.538978,795,bus
297,1090,202,43.469288,-80.538622,40,bus
298,3943,202,43.472209,-80.53589600000001,792,bus
299,3620,202,43.475312,-80.52801675,95,bus
300,2785,202,43.475879166666665,-80.5253945,94,bus
301,2787,202,43.477741,-80.520629,788,bus
302,2788,202,43.479307,-80.516202,829,bus
303,4052,202,43.48339033333334,-80.50784866666667,835,bus
304,4055,202,43.4893544,-80.4939014,1062,bus
305,3665,202,43.491907999999995,-80.4911245,1060,bus
306,4047,202,43.4976815,-80.491829,1183,bus
307,2035,202,43.504448499999995,-80.496617,479,bus
308,3750,202,43.5107735,-80.4976295,1086,bus
309,3752,202,43.517605,-80.502487,1087,bus
310,3842,202,43.517984,-80.51335449999999,1091,bus
311,3755,202,43.5151185,-80.519125,1088,bus
312,3756,202,43.511360333333336,-80.52125366666667,1089,bus
313,4043,202,43.50357066666667,-80.52867133333335,106,bus
314,3799,202,43.498175999999994,-80.5290369090909,65,bus
315,4042,202,43.50357066666667,-80.52867133333335,106,bus
316,3761,202,43.511360333333336,-80.52125366666667,1089,bus
317,3762,202,43.5151185,-80.519125,1088,bus
318,3763,202,43.517984,-80.51335449999999,1091,bus
319,3765,202,43.517605,-80.502487,1087,bus
320,3766,202,43.5107735,-80.4976295,1086,bus
321,1931,202,43.504448499999995,-80.496617,479,bus
322,4046,202,43.4976815,-80.491829,1183,bus
323,3671,202,43.491907999999995,-80.4911245,1060,bus
324,4054,202,43.4893544,-80.4939014,1062,bus
325,4049,202,43.48339033333334,-80.50784866666667,835,bus
326,2832,202,43.478998,-80.517395,847,bus
327,2670,202,43.477741,-80.520629,788,bus
328,1166,202,43.475879166666665,-80.5253945,94,bus
329,3619,202,43.475312,-80.52801675,95,bus
330,2675,202,43.472209,-80.53589600000001,792,bus
331,2676,202,43.468514,-80.539852,740,bus
332,2679,202,43.46232,-80.538978,795,bus
333,1966,202,43.459262333333335,-80.53723633333334,508,bus
