geometry_id,geometry
103,"LINESTRING (524095.55819999985 4802295.3356, 524038.5162000004 4802222.3115)"
104,"LINESTRING (524095.55819999985 4802295.3356, 524038.5162000004 4802222.3115)"
105,"LINESTRING (566521.656 4811192.188, 566525.3337000003 4811220.4964000005, 566507.3154999996 4811280.129000001, 566412.773 4811587.923)"
106,"LINESTRING (566432.95 4811444.577, 566521.656 4811192.188)"
107,"LINESTRING (560031.0493000001 4799213.473999999, 560299.8332000002 4799088.4585, 560302.3647999996 4799087.2809999995)"
108,"LINESTRING (560031.0493000001 4799213.473999999, 560299.8332000002 4799088.4585, 560302.3647999996 4799087.2809999995)"
109,"LINESTRING (561285.2175000003 4798597.9893, 561399.5955999997 4798540.990900001, 561452.4786 4798514.9944)"
110,"LINESTRING (561285.2175000003 4798597.9893, 561399.5955999997 4798540.990900001, 561452.4786 4798514.9944)"
111,"LINESTRING (519044.30510000046 4813556.0546, 519052.3613 4813626.7202, 519052.07270000037 4813649.6055, 519049.34329999983 4813687.887800001)"
112,"LINESTRING (519044.30510000046 4813556.0546, 519052.3613 4813626.7202, 519052.07270000037 4813649.6055, 519049.34329999983 4813687.887800001)"
113,"LINESTRING (518917.17069999967 4812365.536900001, 518912.89940000046 4812391.431600001, 518909.3454 4812423.585100001, 518908.9166000001 4812448.630000001, 518908.9166000001 4812463.856899999, 518910.18649999984 4812488.671800001)"
114,"LINESTRING (518917.17069999967 4812365.536900001, 518912.89940000046 4812391.431600001, 518909.3454 4812423.585100001, 518908.9166000001 4812448.630000001, 518908.9166000001 4812463.856899999, 518910.18649999984 4812488.671800001)"
115,"LINESTRING (534260.6337000001 4811760.0002, 534121.5840999996 4811935.7544)"
116,"LINESTRING (534260.6337000001 4811760.0002, 534121.5840999996 4811935.7544)"
117,"LINESTRING (537703.0893999999 4812070.5195, 537609.4946999997 4812014.1022, 537513.6852000002 4811953.246200001, 537474.9005000005 4811930.110200001, 537461.6210000003 4811925.0966)"
118,"LINESTRING (537703.0893999999 4812070.5195, 537609.4946999997 4812014.1022, 537513.6852000002 4811953.246200001, 537474.9005000005 4811930.110200001, 537461.6210000003 4811925.0966)"
119,"LINESTRING (537788.4530999996 4812121.7564, 537703.0893999999 4812070.5195)"
120,"LINESTRING (537788.4530999996 4812121.7564, 537703.0893999999 4812070.5195)"
121,"LINESTRING (538036.1584000001 4812271.365499999, 537949.6266000001 4812218.856799999)"
122,"LINESTRING (538036.1584000001 4812271.365499999, 537949.6266000001 4812218.856799999)"
123,"LINESTRING (535931.6834000004 4811485.4871, 535842.1259000003 4811659.602499999, 535818.4493000004 4811704.2706, 535776.7105999999 4811781.6306)"
124,"LINESTRING (535931.6834000004 4811485.4871, 535842.1259000003 4811659.602499999, 535818.4493000004 4811704.2706, 535776.7105999999 4811781.6306)"
125,"LINESTRING (536182.2585000005 4811076.555400001, 536251.8236999996 4810972.0206)"
126,"LINESTRING (536182.2585000005 4811076.555400001, 536251.8236999996 4810972.0206)"
127,"LINESTRING (538420.8106000004 4813804.2541000005, 538515.5883 4813848.315099999)"
128,"LINESTRING (538420.8106000004 4813804.2541000005, 538515.5883 4813848.315099999)"
129,"LINESTRING (539144.1361999996 4813507.6931, 539131.4179999996 4813529.513699999, 539043.6934000002 4813677)"
130,"LINESTRING (539144.1361999996 4813507.6931, 539131.4179999996 4813529.513699999, 539043.6934000002 4813677)"
131,"LINESTRING (539237.316 4813363.856, 539209.5421000002 4813400.6862, 539144.136 4813507.693)"
