origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
40521,13027,53.7227,40.61509999999999,40.61509999999999
40438,12712,,40.5821,40.5821
40906,13136,46.27459999999999,40.5821,40.5821
40424,12629,54.8744,40.5821,40.5821
40737,12707,46.347199999999994,40.572199999999995,40.572199999999995
40521,12735,53.452099999999994,40.562299999999986,40.562299999999986
40903,13011,49.007,40.532599999999995,40.532599999999995
40716,12715,52.5578,40.526,40.526
40434,13006,,40.51279999999998,40.51279999999998
12710,40435,,40.496300000000005,40.496300000000005
13011,40526,,40.48640000000001,40.48640000000001
12715,40521,,40.48309999999999,40.48309999999999
40909,13010,46.16569999999999,40.476499999999994,40.476499999999994
13010,40909,,40.46330000000001,40.46330000000001
13011,40511,,40.45670000000001,40.45670000000001
13136,40528,74.7998,40.456700000000005,40.456700000000005
40737,13011,46.49569999999999,40.44349999999999,40.44349999999999
13011,40514,,40.39400000000001,40.39400000000001
13136,40424,68.8235,40.3742,40.3742
40438,12507,,40.37089999999999,40.37089999999999
40536,12904,,40.3676,40.3676
13011,40508,,40.354400000000005,40.354400000000005
12710,40424,41.56219999999999,40.3445,40.3445
40521,12612,,40.34449999999999,40.34449999999999
40424,12639,,40.3313,40.3313
40906,12707,46.017199999999995,40.32469999999999,40.32469999999999
40903,13006,48.67699999999999,40.32469999999998,40.32469999999998
40521,12645,52.452200000000005,40.3214,40.3214
12701,40521,,40.314800000000005,40.314800000000005
21225,13138,51.8813,40.30820000000001,40.30820000000001
40405,13008,,40.3016,40.3016
40435,13138,57.158,40.3016,40.3016
40521,12727,53.1221,40.29169999999999,40.29169999999999
12710,40513,43.23199999999999,40.28510000000001,40.28510000000001
40434,12712,,40.25209999999999,40.25209999999999
12718,40521,,40.2455,40.2455
13009,21626,46.8554,40.2356,40.2356
40737,13006,46.16569999999999,40.23559999999998,40.23559999999998
13002,40506,43.23199999999999,40.23230000000001,40.23230000000001
40526,12710,55.03940000000001,40.229,40.229
40422,12710,65.9162,40.1993,40.1993
40906,13011,46.16569999999999,40.19599999999999,40.19599999999999
40909,13136,45.6146,40.19599999999999,40.19599999999999
12715,40777,42.2849,40.18610000000001,40.18610000000001
40731,13138,55.2869,40.1267,40.1267
13011,40530,,40.116800000000005,40.116800000000005
12628,40521,,40.116800000000005,40.116800000000005
40513,13008,,40.1069,40.1069
13002,40536,43.218799999999995,40.093700000000005,40.093700000000005
21225,12715,48.5285,40.0838,40.0838
13010,40906,,40.07720000000001,40.07720000000001
40435,12715,53.80519999999999,40.077200000000005,40.077200000000005
40903,12712,48.261199999999995,40.06399999999999,40.06399999999999
40405,12904,,40.0409,40.0409
40434,12507,,40.040899999999986,40.040899999999986
40737,12710,47.81569999999999,40.03099999999999,40.03099999999999
40906,13006,45.83569999999999,39.988099999999974,39.988099999999974
40737,12712,45.74989999999999,39.97489999999999,39.97489999999999
13006,40777,56.5277,39.97160000000001,39.97160000000001
12635,40521,,39.9551,39.9551
13010,22002,,39.951800000000006,39.951800000000006
40909,12707,45.3572,39.938599999999994,39.938599999999994
21208,12715,47.8421,39.931999999999995,39.931999999999995
13011,40426,,39.918800000000005,39.918800000000005
12710,21626,46.5254,39.9056,39.9056
13010,40702,,39.9023,39.9023
40731,12715,51.93410000000001,39.9023,39.9023
40526,13009,54.7094,39.899,39.899
40438,12522,,39.89569999999999,39.89569999999999
40535,13138,,39.8924,39.8924
40521,12629,53.1947,39.892399999999995,39.892399999999995
13138,40777,51.9077,39.88580000000001,39.88580000000001
13006,40791,50.39960000000001,39.8858,39.8858
40422,13009,65.5862,39.8693,39.8693
40536,12710,55.3826,39.866,39.866
12634,40521,,39.8627,39.8627
40903,12507,,39.85279999999999,39.85279999999999
40716,13008,,39.8495,39.8495
40513,12904,,39.8462,39.8462
13010,40737,,39.82970000000001,39.82970000000001
12904,40535,,39.8297,39.8297
13010,21225,,39.813200000000016,39.813200000000016
40909,13011,45.5057,39.80989999999999,39.80989999999999
13138,40791,45.7796,39.8,39.8
40438,12718,,39.79339999999999,39.79339999999999
40906,12710,47.48569999999999,39.7835,39.7835
40737,12507,,39.763699999999986,39.763699999999986
40755,13138,54.9206,39.7604,39.7604
40906,12712,45.4199,39.7274,39.7274
13010,40731,,39.71090000000001,39.71090000000001
13010,20901,,39.70100000000001,39.70100000000001
40737,13009,47.48569999999999,39.70099999999999,39.70099999999999
21242,12715,47.5121,39.69769999999999,39.69769999999999
40535,12715,,39.668000000000006,39.668000000000006
12636,40521,,39.6614,39.6614
40438,12503,,39.64489999999999,39.64489999999999
40521,12639,,39.6416,39.6416
40424,12523,53.267300000000006,39.6383,39.6383
13009,40506,42.572,39.6251,39.6251
13010,21671,,39.62180000000001,39.62180000000001
40526,13010,54.3794,39.602,39.602
40909,13006,45.17569999999999,39.601999999999975,39.601999999999975
40716,12904,,39.5888,39.5888
40422,13010,65.2562,39.5723,39.5723
13008,40535,52.1288,39.569,39.569
40434,12522,,39.56569999999999,39.56569999999999
40405,12710,49.69340000000001,39.5393,39.5393
40536,13009,55.052600000000005,39.536,39.536
40755,12715,51.5678,39.536,39.536
13136,40777,72.37760000000002,39.53270000000001,39.53270000000001
13002,40526,42.3311,39.53270000000001,39.53270000000001
12904,40435,,39.5327,39.5327
13006,40908,49.7396,39.5228,39.5228
