link_id,from_node_id,to_node_id,directed,length,geometry_id,allowed_uses,lanes,travel_time
450,1518,1519,1,635.21,450,transit,1,1.0
451,1519,1520,1,428.79,451,transit,1,1.0
452,1520,1521,1,604.22,452,transit,1,2.0
453,1521,1522,1,723.38,453,transit,1,1.0
454,1522,1523,1,208.65,454,transit,1,1.0
455,1523,1524,1,472.15,455,transit,1,1.0
456,1524,1525,1,381.56,456,transit,1,1.0
457,1443,1444,1,209.11,457,transit,1,1.0
458,1444,1445,1,236.66,458,transit,1,1.0
459,1445,1446,1,281.94,459,transit,1,1.0
460,1446,1447,1,490.46,460,transit,1,1.0
461,1447,1448,1,158.04,461,transit,1,1.0
462,1448,1449,1,262.46,462,transit,1,1.0
463,1449,1450,1,181.31,463,transit,1,2.0
464,1450,1451,1,293.65,464,transit,1,1.0
465,1451,1452,1,338.41,465,transit,1,1.0
466,1452,1453,1,196.09,466,transit,1,1.0
467,1453,1454,1,382.12,467,transit,1,1.0
468,1454,1455,1,326.71,468,transit,1,1.0
469,1455,1456,1,123.47,469,transit,1,2.0
470,1456,1457,1,289.37,470,transit,1,1.0
471,1457,1458,1,181.27,471,transit,1,1.0
472,1458,1459,1,413.59,472,transit,1,1.0
473,1459,1460,1,379.59,473,transit,1,1.0
474,1460,1461,1,304.72,474,transit,1,1.0
475,1461,1462,1,245.28,475,transit,1,2.0
476,1462,1463,1,228.25,476,transit,1,1.0
477,1463,1464,1,354.27,477,transit,1,1.0
478,1464,1465,1,194.03,478,transit,1,2.0
479,1465,1466,1,366.05,479,transit,1,1.0
480,1466,1467,1,372.94,480,transit,1,1.0
481,1467,1468,1,405.29,481,transit,1,1.0
482,1468,1469,1,188.0,482,transit,1,2.0
483,1469,1470,1,536.01,483,transit,1,2.0
484,1470,1471,1,487.7,484,transit,1,1.0
485,1471,1472,1,269.91,485,transit,1,1.0
486,1472,1473,1,618.92,486,transit,1,2.0
487,1392,1393,1,544.63,487,transit,1,2.0
488,1393,1394,1,582.66,488,transit,1,2.0
489,1394,1395,1,403.27,489,transit,1,1.0
490,1395,1396,1,319.24,490,transit,1,1.0
491,1396,1397,1,818.69,491,transit,1,2.0
492,1397,1398,1,290.6,492,transit,1,2.0
493,1398,1399,1,200.7,493,transit,1,1.0
494,1399,1400,1,401.45,494,transit,1,2.0
495,1400,1401,1,343.32,495,transit,1,1.0
496,1401,1402,1,377.1,496,transit,1,1.0
497,1402,1403,1,342.03,497,transit,1,1.0
498,1403,1404,1,300.65,498,transit,1,1.0
499,1404,1405,1,326.15,499,transit,1,2.0
500,1405,1406,1,276.8,500,transit,1,1.0
501,1406,1407,1,455.39,501,transit,1,1.0
502,1407,1408,1,369.57,502,transit,1,1.0
503,1408,1409,1,259.92,503,transit,1,1.0
504,1409,1410,1,172.42,504,transit,1,2.0
505,1410,1411,1,440.73,505,transit,1,1.0
506,1411,1412,1,297.66,506,transit,1,1.0
507,1412,1413,1,331.26,507,transit,1,1.0
508,1413,1414,1,467.23,508,transit,1,1.0
509,1414,1415,1,149.51,509,transit,1,1.0
510,1415,1416,1,311.08,510,transit,1,2.0
511,1416,1417,1,69.85,511,transit,1,1.0
512,1367,1368,1,541.1,512,transit,1,2.0
513,1368,1369,1,1054.72,513,transit,1,4.0
514,1369,1370,1,971.99,514,transit,1,2.0
515,1370,1371,1,178.56,515,transit,1,1.0
516,1371,1372,1,213.6,516,transit,1,2.0
517,1372,1373,1,324.25,517,transit,1,1.0
518,1373,1374,1,139.27,518,transit,1,2.0
519,1374,1375,1,636.24,519,transit,1,2.0
520,1375,1376,1,289.25,520,transit,1,2.0
521,1376,1377,1,240.96,521,transit,1,1.0
522,1377,1378,1,386.08,522,transit,1,1.0
