geometry_id,geometry
205,"LINESTRING (544999.7451642575 4804274.892088722, 545359.1941396273 4804494.972914606)"
206,"LINESTRING (545359.1941396273 4804494.972914606, 545604.2153508338 4804671.988625073)"
207,"LINESTRING (545604.2153508338 4804671.988625073, 545819.2023741871 4804713.981074911)"
208,"LINESTRING (545819.2023741871 4804713.981074911, 546074.718253225 4804427.962573701)"
209,"LINESTRING (546074.718253225 4804427.962573701, 546337.72148117 4804389.890660116)"
210,"LINESTRING (546337.72148117 4804389.890660116, 546814.4244914958 4804253.462303793)"
211,"LINESTRING (546814.4244914958 4804253.462303793, 547681.6838184972 4804064.705007439)"
212,"LINESTRING (547681.6838184972 4804064.705007439, 547943.6263237565 4804255.48211292)"
213,"LINESTRING (547943.6263237565 4804255.48211292, 548312.698398882 4804330.9610963445)"
214,"LINESTRING (537170.5028305945 4813559.993445683, 537553.6699351016 4813353.987505149)"
215,"LINESTRING (537553.6699351016 4813353.987505149, 537833.2167619837 4813493.381604486)"
216,"LINESTRING (537833.2167619837 4813493.381604486, 537989.1782078794 4813575.88947501)"
217,"LINESTRING (537989.1782078794 4813575.88947501, 538153.1877533124 4813730.975312537)"
218,"LINESTRING (538153.1877533124 4813730.975312537, 538008.2287253506 4813992.92678307)"
219,"LINESTRING (538008.2287253506 4813992.92678307, 537901.2280731867 4814179.90634317)"
220,"LINESTRING (537901.2280731867 4814179.90634317, 537772.2234737626 4814397.972366244)"
221,"LINESTRING (537772.2234737626 4814397.972366244, 537659.1730135713 4814570.039576336)"
