OBJECTID,Stage1,RouteLocationStage1,Stage2,RouteLocationStage2,TravelDirection,Oneway,RouteStatus,EditDate,GlobalID
450,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{25DAA370-92BD-4634-A8ED-DB2E7D1C7720}
451,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{53461C76-9370-4EAD-BE96-C7393FF07D73}
452,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{68308671-482A-44D5-BBBC-1E63209A35DD}
453,LRT,Rail Corridor,LRT,Rail Corridor,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{30DCD1D7-2131-46A7-AF0C-1EB9F1F7EA0C}
454,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{0B95A2A7-2BDF-4B24-B862-C0331C02076F}
455,LRT,Curbside,LRT,Curbside,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{D3BF3828-53D8-4691-BE79-BDFA93AE165D}
456,LRT,Hydro Corridor,LRT,Hydro Corridor,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{106B54A5-74F0-4178-B8FB-FA82EDCC53D0}
457,LRT,Hydro Corridor,LRT,Hydro Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{BEB80CF7-2CB8-4962-92A8-2B6BAA58D69C}
458,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{F491EC08-564C-4CB5-9A95-767D0D8E1CCE}
460,,,LRT,Curbside,Bi-Directional,No,Planned,2018/12/18 09:13:09+00,{F31E6D5E-0F7F-45CC-8257-AFB8267F6084}
461,,,LRT,Centre,Bi-Directional,No,Planned,2024/05/01 15:32:16+00,{F9A1D3FD-86BD-4055-90A0-549163BCEB64}
462,,,LRT,Centre,Bi-Directional,No,Planned,2024/05/01 15:32:16+00,{72A21991-4F89-46C2-A471-B026B1A9768E}
